work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_in_gbp,job_title_grouped,employee_residence_grouped,company_location_grouped
2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,M,170200.0,Analytics Engineer,GB,GB
2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,M,105968.0,Analytics Engineer,GB,GB
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M,166500.0,Other,US,US
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M,115736.0,Other,US,US
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M,148000.0,Machine Learning Engineer,US,US
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M,96200.0,Machine Learning Engineer,US,US
2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,M,66600.0,Other,CA,CA
2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,M,53280.0,Other,CA,CA
2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M,187368.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M,67118.0,Data Engineer,US,US
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M,253679.4,Other,US,US
2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M,136596.6,Other,US,US
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,120250.0,Data Engineer,US,US
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,96200.0,Data Engineer,US,US
2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M,77981.2,Data Analyst,US,US
2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M,47730.0,Data Analyst,US,US
2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L,74000.0,Other,Other,Other
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L,22200.0,Other,Other,Other
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L,15528.16,Machine Learning Engineer,IN,IN
2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L,151418.8,Applied Scientist,US,US
2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L,81903.2,Applied Scientist,US,US
2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M,200320.22,Data Engineer,US,US
2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M,163898.16,Data Engineer,US,US
2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M,157435.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,136900.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M,193880.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M,181300.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M,203722.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M,135790.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M,161690.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M,147332.52,Data Scientist,US,US
2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M,150442.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M,91464.0,Data Engineer,US,US
2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M,139941.4,Research Engineer,US,US
2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M,102860.0,Research Engineer,US,US
2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M,191475.0,Data Scientist,US,US
2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M,136900.0,Data Scientist,US,US
2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M,171310.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,122840.0,Data Engineer,US,US
2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M,127650.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M,81770.0,Data Scientist,US,US
2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M,176120.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M,130240.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M,175380.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M,149073.0,Data Engineer,US,US
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,228956.0,Applied Scientist,US,US
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,117734.0,Applied Scientist,US,US
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,85100.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,60310.0,Data Engineer,US,US
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M,175380.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M,149073.0,Data Scientist,US,US
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M,207200.0,Other,US,US
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M,155400.0,Other,US,US
2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M,207274.0,Data Architect,US,US
2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M,124394.0,Data Architect,US,US
2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,143190.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M,102860.0,Data Engineer,US,US
2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L,48145.88,Data Scientist,Other,Other
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M,111000.0,Machine Learning Engineer,PT,US
2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S,51615.74,Other,IN,DE
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L,222000.0,Other,IN,IN
2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L,71467.72,Machine Learning Engineer,Other,Other
2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,M,137566.0,Other,US,US
2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,M,95682.0,Other,US,US
2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M,166500.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,129500.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,136900.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,103600.0,Data Engineer,US,US
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,35733.86,Data Scientist,ES,ES
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,28586.94,Data Scientist,ES,ES
2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M,77700.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M,51800.0,Data Scientist,US,US
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M,120765.04,Machine Learning Engineer,US,US
2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M,107954.9,Machine Learning Engineer,US,US
2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M,160580.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,136900.0,Data Engineer,US,US
2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L,150072.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L,77182.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M,107300.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M,48100.0,Data Analyst,US,US
2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,122100.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,M,97902.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,M,132585.8,Data Engineer,US,US
2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,M,69782.0,Data Engineer,US,US
2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M,112850.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M,86173.0,Analytics Engineer,US,US
2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,M,183002.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M,99012.0,Data Engineer,US,US
2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M,150220.0,Research Engineer,US,US
2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M,98420.0,Research Engineer,US,US
2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L,162800.0,Research Scientist,US,US
2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,S,41836.64,Machine Learning Engineer,Other,Other
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,111000.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,88800.0,Data Scientist,US,US
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,214452.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M,158360.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M,133066.8,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M,106456.4,Analytics Engineer,US,US
2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M,209568.0,Machine Learning Engineer,US,US
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M,139712.0,Machine Learning Engineer,US,US
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,214452.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M,158508.0,Analytics Engineer,US,US
2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M,137566.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M,95682.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M,186480.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M,95460.0,Data Engineer,US,US
2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M,114700.0,Other,US,US
2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M,103600.0,Other,US,US
2023,SE,FT,Data Engineer,161800,USD,161800,US,100,US,M,119732.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,141600,USD,141600,US,100,US,M,104784.0,Data Engineer,US,US
2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L,253302.0,Machine Learning Engineer,US,US
2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,L,130314.0,Machine Learning Engineer,US,US
2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,74000.0,Data Engineer,US,US
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,51800.0,Data Engineer,US,US
2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,62900.0,Data Engineer,US,US
2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,48100.0,Data Engineer,US,US
2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,M,102700.16,Data Scientist,US,US
2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M,61619.799999999996,Data Scientist,US,US
2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M,55500.0,Data Analyst,US,US
2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M,51800.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M,151330.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M,102786.0,Data Analyst,US,US
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M,235542.0,Machine Learning Engineer,US,US
2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M,157028.0,Machine Learning Engineer,US,US
2023,SE,FT,Data Engineer,95000,USD,95000,US,100,US,M,70300.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M,55500.0,Data Engineer,US,US
2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,144300.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,118400.0,Data Scientist,US,US
2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,M,170200.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,143200,USD,143200,US,0,US,M,105968.0,Analytics Engineer,US,US
2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,74000.0,Data Engineer,US,US
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,51800.0,Data Engineer,US,US
2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L,77700.0,Other,US,US
2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IN,100,IN,L,15295.8,Other,IN,IN
2023,MI,FT,Data Analyst,38000,GBP,46178,GB,0,GB,M,34171.72,Data Analyst,GB,GB
2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,M,31474.42,Data Analyst,GB,GB
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,107300.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,85100.0,Data Engineer,US,US
2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M,124616.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M,77848.0,Data Analyst,US,US
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,228956.0,Applied Scientist,US,US
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,117734.0,Applied Scientist,US,US
2023,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M,140600.0,Machine Learning Engineer,US,US
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M,111000.0,Machine Learning Engineer,US,US
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,120250.0,Data Engineer,US,US
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,96200.0,Data Engineer,US,US
2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,M,111000.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,120000,USD,120000,US,100,US,M,88800.0,Analytics Engineer,US,US
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,107300.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M,88800.0,Data Engineer,US,US
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,164428.0,Applied Scientist,US,US
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,100640.0,Applied Scientist,US,US
2023,SE,FT,Data Analyst,45000,GBP,54685,CF,100,CF,M,40466.9,Data Analyst,Other,Other
2023,SE,FT,Data Analyst,35000,GBP,42533,CF,100,CF,M,31474.42,Data Analyst,Other,Other
2023,SE,FT,Data Engineer,241000,USD,241000,US,0,US,M,178340.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,155000,USD,155000,US,0,US,M,114700.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,162800.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M,140600.0,Data Engineer,US,US
2023,MI,FT,Data Scientist,55000,GBP,66837,GB,0,GB,M,49459.38,Data Scientist,GB,GB
2023,MI,FT,Data Scientist,45000,GBP,54685,GB,0,GB,M,40466.9,Data Scientist,GB,GB
2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M,11100.0,Other,Other,CA
2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,100,GB,M,62948.84,Other,GB,GB
2023,MI,FT,ETL Engineer,47500,GBP,57723,GB,100,GB,M,42715.02,Other,GB,GB
2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M,62900.0,Data Analyst,US,US
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M,55500.0,Data Analyst,US,US
2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,118400.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,103600.0,Data Engineer,US,US
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M,222000.0,Machine Learning Engineer,US,US
2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M,185000.0,Machine Learning Engineer,US,US
2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,M,168720.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M,137640.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M,140600.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,125800.0,Data Scientist,US,US
2023,MI,FT,Research Engineer,230000,USD,230000,US,0,US,M,170200.0,Research Engineer,US,US
2023,MI,FT,Research Engineer,200000,USD,200000,US,0,US,M,148000.0,Research Engineer,US,US
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M,133200.0,Data Architect,US,US
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,85100.0,Data Architect,US,US
2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M,148000.0,Data Architect,US,US
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,85100.0,Data Architect,US,US
2023,SE,FT,Data DevOps Engineer,50000,EUR,53654,FR,50,FR,S,39703.96,Other,FR,FR
2023,EX,FT,Data Engineer,220000,USD,220000,US,0,US,M,162800.0,Data Engineer,US,US
2023,EX,FT,Data Engineer,205000,USD,205000,US,0,US,M,151700.0,Data Engineer,US,US
2023,MI,FT,Data Engineer,180000,USD,180000,US,0,US,M,133200.0,Data Engineer,US,US
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,96200.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M,148000.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,111000.0,Data Engineer,US,US
2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0,US,M,159100.0,Other,US,US
2023,SE,FT,Computer Vision Engineer,170000,USD,170000,US,0,US,M,125800.0,Other,US,US
2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M,183150.0,Machine Learning Engineer,US,US
2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M,127428.0,Machine Learning Engineer,US,US
2023,SE,FT,Data Scientist,224000,USD,224000,CA,0,CA,M,165760.0,Data Scientist,CA,CA
2023,SE,FT,Data Scientist,176000,USD,176000,CA,0,CA,M,130240.0,Data Scientist,CA,CA
2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M,88800.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M,55500.0,Data Analyst,US,US
2023,EN,FT,Data Engineer,1400000,INR,17022,IN,100,IN,L,12596.28,Data Engineer,IN,IN
2023,SE,FT,Applied Data Scientist,100000,AUD,68318,AU,100,FI,M,50555.32,Other,Other,Other
2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,M,55514.8,Other,Other,Other
2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M,103600.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M,88800.0,Data Analyst,US,US
2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M,94720.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,60310.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,107300.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,85100.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,136900.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,103600.0,Data Engineer,US,US
2023,EX,FT,Head of Data,329500,USD,329500,US,0,US,M,243830.0,Other,US,US
2023,EX,FT,Head of Data,269600,USD,269600,US,0,US,M,199504.0,Other,US,US
2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M,74000.0,Other,US,US
2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M,59200.0,Other,US,US
2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M,185000.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M,120250.0,Data Scientist,US,US
2023,MI,FT,AI Developer,200000,USD,200000,US,100,US,M,148000.0,Other,US,US
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,107300.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M,74000.0,Data Engineer,US,US
2023,EX,FT,Data Engineer,145000,USD,145000,US,0,US,M,107300.0,Data Engineer,US,US
2023,EX,FT,Data Engineer,115000,USD,115000,US,0,US,M,85100.0,Data Engineer,US,US
2023,SE,FT,Data Scientist,203500,USD,203500,US,0,US,M,150590.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,152000,USD,152000,US,0,US,M,112480.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,239000,USD,239000,US,0,US,L,176860.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,122900,USD,122900,US,0,US,L,90946.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,237000,USD,237000,US,0,US,M,175380.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M,107300.0,Data Scientist,US,US
2023,SE,FT,Data Science Manager,191765,USD,191765,US,0,US,M,141906.1,Data Science Manager,US,US
2023,SE,FT,Data Science Manager,134236,USD,134236,US,0,US,M,99334.64,Data Science Manager,US,US
2023,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M,140600.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,112000,USD,112000,US,100,US,M,82880.0,Analytics Engineer,US,US
2022,SE,FT,Data Scientist,84000,EUR,88256,ES,100,GB,L,65309.44,Data Scientist,ES,GB
2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,62900.0,Data Engineer,US,US
2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,48100.0,Data Engineer,US,US
2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M,99900.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M,78070.0,Data Analyst,US,US
2023,SE,FT,Research Engineer,293000,USD,293000,US,0,US,M,216820.0,Research Engineer,US,US
2023,SE,FT,Research Engineer,185000,USD,185000,US,0,US,M,136900.0,Research Engineer,US,US
2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M,59200.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M,51800.0,Data Analyst,US,US
2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,162800.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M,118400.0,Data Engineer,US,US
2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,129500.0,Data Scientist,US,US
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M,107300.0,Data Scientist,US,US
2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M,148000.0,Data Analyst,US,US
2023,SE,FT,Data Analyst,148500,USD,148500,US,0,US,M,109890.0,Data Analyst,US,US
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,35733.86,Data Scientist,ES,ES
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,28586.94,Data Scientist,ES,ES
2023,SE,FT,Data Engineer,240500,USD,240500,US,0,US,L,177970.0,Data Engineer,US,US
2023,SE,FT,Data Engineer,123700,USD,123700,US,0,US,L,91538.0,Data Engineer,US,US
2023,SE,FT,Analytics Engineer,152900,USD,152900,US,100,US,M,113146.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,117100,USD,117100,US,100,US,M,86654.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,173000,USD,173000,US,100,US,M,128020.0,Analytics Engineer,US,US
2023,SE,FT,Analytics Engineer,113000,USD,113000,US,100,US,M,83620.0,Analytics Engineer,US,US
2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L,192400.0,Applied Scientist,US,US
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,100640.0,Applied Scientist,US,US
